target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.929611492157,0.8727225065231323, 0.9162343740463257, 0.8933418989181519, 0.9278419613838196, 0.9281266331672668, 0.9071720838546753, 0.9583864212036133, 0.8653879761695862, 0.9654145240783691, 1.0614866018295288,0.0566325472309,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.934812545776,0.9171865582466125, 0.8212073445320129, 0.9413940906524658, 0.9863312840461731, 1.002105951309204, 0.9710550904273987, 0.9166439175605774, 1.0044690370559692, 0.9038770198822021, 0.8838549256324768,0.0582065769716,14.0, 39.0, 51.0, 82.0, 116.0, 140.0, 146.0, 182.0, 192.0, 222.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.866812038422,0.8595172166824341, 0.8736860156059265, 0.863261342048645, 0.8736138939857483, 0.8398669362068176, 0.8305045962333679, 0.8604565858840942, 0.9330185055732727, 0.8838854432106018, 0.8503096103668213,0.0282668374886,4.0, 35.0, 63.0, 90.0, 105.0, 136.0, 145.0, 180.0, 206.0, 218.0
none,50,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,10.0, 29.0, 54.0, 78.0, 101.0, 124.0, 158.0, 179.0, 211.0, 228.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.966425132751,0.9537162780761719, 0.9768715500831604, 0.9550871253013611, 0.9212743639945984, 0.9360284805297852, 0.9940766096115112, 1.0015002489089966, 1.0342384576797485, 0.9423037767410278, 0.9491548538208008,0.0346976764428,1.0, 43.0, 60.0, 81.0, 115.0, 135.0, 148.0, 181.0, 196.0, 217.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.950078296661,0.9038241505622864, 0.9799916744232178, 0.8923230171203613, 0.8986715078353882, 1.130260944366455, 0.9510723352432251, 0.9281042814254761, 1.0244146585464478, 0.908263087272644, 0.8838576078414917,0.0771879412771,9.0, 31.0, 62.0, 76.0, 104.0, 131.0, 154.0, 174.0, 199.0, 235.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.865891742706,0.8842317461967468, 0.818259596824646, 0.846196711063385, 0.8770498037338257, 0.8778148889541626, 0.8823159337043762, 0.8573461174964905, 0.8439571261405945, 0.8914456367492676, 0.8802998661994934,0.0234384293901,22.0, 38.0, 71.0, 85.0, 111.0, 122.0, 152.0, 183.0, 198.0, 225.0
none,50,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,18.0, 32.0, 67.0, 73.0, 100.0, 133.0, 155.0, 178.0, 207.0, 237.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04327535629,1.0474969148635864, 1.06425940990448, 1.0304535627365112, 1.1118587255477905, 1.0327255725860596, 1.060499668121338, 1.0047657489776611, 0.9905665516853333, 1.0554872751235962, 1.0346399545669556,0.0336965426986,6.0, 27.0, 56.0, 93.0, 117.0, 127.0, 150.0, 177.0, 195.0, 239.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.03776130676,1.0202909708023071, 0.995958685874939, 1.020728349685669, 1.0544919967651367, 1.0564223527908325, 1.0121854543685913, 1.0788745880126953, 1.0313835144042969, 1.0625585317611694, 1.0447187423706055,0.025861499998,21.0, 44.0, 52.0, 74.0, 109.0, 138.0, 144.0, 185.0, 193.0, 232.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.98407907486,0.9975285530090332, 0.9594027996063232, 0.9619253277778625, 1.0049680471420288, 0.9766155481338501, 1.0404889583587646, 0.9648284912109375, 0.9535003304481506, 0.96608966588974, 1.0154430866241455,0.028997487502,3.0, 47.0, 48.0, 87.0, 110.0, 121.0, 149.0, 187.0, 200.0, 221.0
none,200,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,20.0, 46.0, 58.0, 80.0, 99.0, 143.0, 161.0, 168.0, 197.0, 234.0
left,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.08072080612,1.057762622833252, 0.9999735355377197, 1.0141797065734863, 1.0888776779174805, 1.0440340042114258, 1.0767133235931396, 1.07200026512146, 1.116562843322754, 1.179491639137268, 1.157612681388855,0.057669721621,19.0, 45.0, 55.0, 89.0, 112.0, 129.0, 165.0, 170.0, 209.0, 238.0
right,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04824094772,1.007741928100586, 1.0251885652542114, 0.9969377517700195, 1.1114470958709717, 0.9860172867774963, 1.0370937585830688, 1.055411458015442, 1.074032187461853, 1.0870616436004639, 1.1014775037765503,0.0445376786898,15.0, 42.0, 61.0, 95.0, 108.0, 130.0, 167.0, 176.0, 194.0, 227.0
central,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.991337394714,1.0142488479614258, 1.0011180639266968, 0.9513772130012512, 0.986083984375, 0.9725035429000854, 1.0206962823867798, 0.9969444274902344, 1.014930009841919, 0.9977443218231201, 0.9577274918556213,0.0240840968106,12.0, 34.0, 64.0, 91.0, 98.0, 120.0, 157.0, 184.0, 202.0, 233.0
none,200,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,17.0, 26.0, 65.0, 72.0, 96.0, 125.0, 151.0, 190.0, 213.0, 220.0
left,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16646900177,1.1403594017028809, 1.1289865970611572, 1.1916834115982056, 1.15361750125885, 1.172870397567749, 1.156416654586792, 1.1995046138763428, 1.165172815322876, 1.2022663354873657, 1.153812050819397,0.0248646921335,5.0, 36.0, 57.0, 84.0, 113.0, 132.0, 162.0, 189.0, 203.0, 229.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.2113697052,1.2249619960784912, 1.2451025247573853, 1.172810435295105, 1.1931267976760864, 1.2482528686523438, 1.1583333015441895, 1.2099541425704956, 1.1488186120986938, 1.3135333061218262, 1.1988028287887573,0.0492448227599,16.0, 33.0, 59.0, 86.0, 119.0, 141.0, 159.0, 186.0, 210.0, 226.0
central,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.13616409302,1.1252681016921997, 1.1744261980056763, 1.1248211860656738, 1.1388754844665527, 1.1318626403808594, 1.09132719039917, 1.134299635887146, 1.1262181997299194, 1.1838196516036987, 1.130722165107727,0.026142002506,11.0, 28.0, 53.0, 88.0, 103.0, 123.0, 166.0, 175.0, 212.0, 219.0
none,350,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,0.0, 25.0, 70.0, 92.0, 107.0, 142.0, 147.0, 191.0, 208.0, 230.0
left,350,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.16011400223,1.1493035554885864, 1.103622555732727, 1.1442246437072754, 1.1711314916610718, 1.2844730615615845, 1.157042384147644, 1.345025658607483, 0.9026947617530823, 1.1988344192504883, 1.1447877883911133,0.11611668753,7.0, 40.0, 49.0, 79.0, 114.0, 139.0, 164.0, 173.0, 205.0, 223.0
