target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.962625598907,0.8559445142745972, 0.983889102935791, 1.020961046218872, 0.9571139216423035, 0.9552878737449646, 1.0251518487930298, 1.0134562253952026, 0.9752017259597778, 0.9147613644599915, 0.9244885444641113,0.0534551722664,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.9655626297,0.9507744908332825, 0.9689158201217651, 1.0092560052871704, 0.9504448771476746, 1.0055207014083862, 0.9279653429985046, 0.9928494691848755, 0.9651163816452026, 0.8990010619163513, 0.9857821464538574,0.0348995953837,16.0, 36.0, 65.0, 73.0, 106.0, 132.0, 148.0, 190.0, 202.0, 219.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.882014656067,0.7895371317863464, 0.8535017967224121, 0.9729979634284973, 0.939116895198822, 0.965135395526886, 0.8050053715705872, 0.8573720455169678, 0.8576385378837585, 0.8874496817588806, 0.8923914432525635,0.0624338417966,4.0, 41.0, 69.0, 90.0, 119.0, 122.0, 156.0, 187.0, 207.0, 228.0
none,50,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,23.0, 38.0, 48.0, 72.0, 112.0, 141.0, 146.0, 182.0, 212.0, 220.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.995503425598,0.9740740656852722, 1.1268764734268188, 0.9952172040939331, 0.9916023015975952, 1.065521001815796, 0.9328166842460632, 0.9458479881286621, 0.9645886421203613, 1.000924825668335, 0.9575648307800293,0.0591190881351,11.0, 47.0, 56.0, 85.0, 102.0, 133.0, 149.0, 175.0, 208.0, 232.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.980582427979,0.9635722637176514, 0.94577556848526, 0.9720777273178101, 0.9280140995979309, 0.988515317440033, 1.0585134029388428, 0.9253033399581909, 0.9249938130378723, 1.080551266670227, 1.0185075998306274,0.055827859318,8.0, 26.0, 52.0, 76.0, 110.0, 143.0, 144.0, 176.0, 213.0, 226.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.885569190979,0.8540142774581909, 0.9071534872055054, 0.9433709383010864, 0.9823457598686218, 0.893375813961029, 0.8382622003555298, 0.8376448750495911, 0.8235585689544678, 0.8943453431129456, 0.8816210031509399,0.0502238342592,6.0, 32.0, 58.0, 88.0, 96.0, 124.0, 165.0, 170.0, 198.0, 230.0
none,50,right,10.0,, , , , , , , , 'space', ,1.95300674438,, , , , , , , , 1.9530067443847656, ,0.0,21.0, 30.0, 51.0, 95.0, 100.0, 140.0, 151.0, 180.0, 211.0, 222.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04752502441,0.9538189768791199, 1.0577280521392822, 1.0844815969467163, 1.0774683952331543, 1.0913201570510864, 1.080546498298645, 1.07699716091156, 0.9939875602722168, 1.0675140619277954, 0.991388201713562,0.0488097458268,10.0, 42.0, 59.0, 75.0, 115.0, 125.0, 154.0, 178.0, 193.0, 221.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.06754074097,1.0250393152236938, 1.0914783477783203, 1.0506854057312012, 1.0974090099334717, 1.118015170097351, 1.1161142587661743, 0.9946678876876831, 1.032782793045044, 1.0603814125061035, 1.0888338088989258,0.0414807439519,12.0, 34.0, 61.0, 81.0, 98.0, 130.0, 166.0, 186.0, 215.0, 227.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.978866386414,0.939079761505127, 0.9977609515190125, 1.0022703409194946, 1.035719633102417, 0.9957376718521118, 0.9916372299194336, 0.9311373233795166, 0.9683449268341064, 0.987934947013855, 0.9390407800674438,0.0337059735159,0.0, 39.0, 49.0, 84.0, 111.0, 123.0, 162.0, 179.0, 209.0, 225.0
