23.0703 	WARNING 	t of last frame was 3.95ms (=1/253)
23.2223 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.3972 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.4129 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.4502 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.4653 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.5022 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.5173 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
23.5555 	EXP 	TextStim: autoLog = None
23.5555 	EXP 	TextStim: units = None
23.5555 	EXP 	TextStim: useShaders = None
23.5555 	EXP 	TextStim: depth = None
23.5555 	EXP 	TextStim: ori = None
23.5555 	EXP 	TextStim: pos = None
23.5555 	EXP 	TextStim: colorSpace = None
23.5555 	EXP 	TextStim: opacity = None
23.5555 	EXP 	Set instructionsText text=
23.5555 	EXP 	TextStim: contrast = None
23.5555 	EXP 	TextStim: autoLog = None
23.5555 	EXP 	TextStim: units = None
23.5555 	EXP 	TextStim: useShaders = None
23.5555 	EXP 	TextStim: depth = None
23.5555 	EXP 	TextStim: ori = None
23.5555 	EXP 	TextStim: pos = None
23.5555 	EXP 	TextStim: colorSpace = None
23.5555 	EXP 	TextStim: opacity = None
23.5555 	EXP 	Set debugText text=
23.5555 	EXP 	TextStim: contrast = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameMiddle.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameMiddle.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameLeft.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameLeft.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameRight.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameRight.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set cue.lineColor=[ 1.  1.  1.] (rgb)
23.5555 	EXP 	Set cue.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set target.lineColor=[ 1.  1.  1.] (rgb)
23.5555 	EXP 	Set target.fillColor=[ 1.  1.  1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	TextStim: autoLog = None
23.5555 	EXP 	TextStim: units = None
23.5555 	EXP 	TextStim: useShaders = None
23.5555 	EXP 	TextStim: depth = None
23.5555 	EXP 	TextStim: ori = None
23.5555 	EXP 	TextStim: pos = None
23.5555 	EXP 	TextStim: colorSpace = None
23.5555 	EXP 	TextStim: opacity = None
23.5555 	EXP 	Set blockStartText text=
23.5555 	EXP 	TextStim: contrast = None
23.5555 	EXP 	TextStim: autoLog = None
23.5555 	EXP 	TextStim: units = None
23.5555 	EXP 	TextStim: useShaders = None
23.5555 	EXP 	TextStim: depth = None
23.5555 	EXP 	TextStim: ori = None
23.5555 	EXP 	TextStim: pos = None
23.5555 	EXP 	TextStim: colorSpace = None
23.5555 	EXP 	TextStim: opacity = None
23.5555 	EXP 	Set debugText text=
23.5555 	EXP 	TextStim: contrast = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameMiddle.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameMiddle.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameLeft.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameLeft.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
23.5555 	EXP 	Rect: pos = None
23.5555 	EXP 	Rect: useShaders = None
23.5555 	EXP 	Set frameRight.lineColor=[ 0.  0.  0.] (rgb)
23.5555 	EXP 	Set frameRight.fillColor=[-1. -1. -1.] (rgb)
23.5555 	EXP 	Rect: depth = None
23.5555 	EXP 	Rect: ori = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: size = None
23.5555 	EXP 	Rect: autoLog = None
23.5555 	EXP 	Rect: units = None
23.5555 	EXP 	Rect: contrast = None
23.5555 	EXP 	Rect: opacity = None
