target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.997343540192,0.8753498196601868, 1.1267982721328735, 1.0096558332443237, 1.0438343286514282, 0.9966974854469299, 1.1273069381713867, 0.8695395588874817, 0.8868991732597351, 0.9446006417274475, 1.0927531719207764,0.100698400425,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.999771976471,0.9237698912620544, 0.954549252986908, 0.9242240786552429, 0.93410724401474, 0.9846351146697998, 1.1858025789260864, 1.1021432876586914, 1.013139009475708, 1.0271636247634888, 0.9481855034828186,0.0861183247892,16.0, 36.0, 65.0, 73.0, 106.0, 132.0, 148.0, 190.0, 202.0, 219.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.933740615845,0.884360134601593, 0.8783720135688782, 0.959052324295044, 0.9024797677993774, 0.8575235605239868, 0.9992891550064087, 0.9753986597061157, 1.006014347076416, 0.8237513303756714, 1.0511643886566162,0.0745896611415,4.0, 41.0, 69.0, 90.0, 119.0, 122.0, 156.0, 187.0, 207.0, 228.0
none,50,left,10.0,, , 'space', , , 'space', , , 'space', ,0.932713985443,, , 0.918040931224823, , , 0.8897438645362854, , , 0.9903572797775269, ,0.0446570437087,23.0, 38.0, 48.0, 72.0, 112.0, 141.0, 146.0, 182.0, 212.0, 220.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.00074968338,0.9105972051620483, 0.9841101765632629, 1.0529652833938599, 1.021748661994934, 0.958860456943512, 1.129880666732788, 1.0093916654586792, 0.9805139899253845, 1.0007182359695435, 0.9587100744247437,0.0598635332426,11.0, 47.0, 56.0, 85.0, 102.0, 133.0, 149.0, 175.0, 208.0, 232.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.953405857086,0.8811056017875671, 0.9201747179031372, 0.9691615700721741, 1.0931274890899658, 0.8596356511116028, 1.0056970119476318, 0.9995245337486267, 1.0012449026107788, 0.8704082369804382, 0.9339788556098938,0.0740200789709,8.0, 26.0, 52.0, 76.0, 110.0, 143.0, 144.0, 176.0, 213.0, 226.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.968840885162,1.0481643676757812, 0.8906217217445374, 1.102782130241394, 1.0538007020950317, 1.0301357507705688, 0.8992760181427002, 0.9398291110992432, 0.9071801900863647, 0.9720829129219055, 0.844536304473877,0.085810563439,6.0, 32.0, 58.0, 88.0, 96.0, 124.0, 165.0, 170.0, 198.0, 230.0
none,50,right,10.0,, 'space', , 'space', , , , , , ,0.945894002914,, 1.0015454292297363, , 0.8902425169944763, , , , , , ,0.0586617854789,21.0, 30.0, 51.0, 95.0, 100.0, 140.0, 151.0, 180.0, 211.0, 222.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.05833683014,0.8474643230438232, 1.0500470399856567, 1.1175307035446167, 1.1917916536331177, 1.0656934976577759, 1.0913760662078857, 1.0643458366394043, 1.103158950805664, 1.035850167274475, 1.0161101818084717,0.0890253531961,10.0, 42.0, 59.0, 75.0, 115.0, 125.0, 154.0, 178.0, 193.0, 221.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.08835983276,0.8777457475662231, 1.0447551012039185, 1.1068644523620605, 1.1023693084716797, 1.0525251626968384, 1.227163553237915, 1.1479765176773071, 1.1848918199539185, 1.0100919008255005, 1.1292150020599365,0.0988919365039,12.0, 34.0, 61.0, 81.0, 98.0, 130.0, 166.0, 186.0, 215.0, 227.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04585056305,1.245010495185852, 0.9836729168891907, 1.0439975261688232, 0.9890350699424744, 1.025564193725586, 1.085886836051941, 1.0089784860610962, 1.0366342067718506, 1.011841893196106, 1.0278838872909546,0.0757924758337,0.0, 39.0, 49.0, 84.0, 111.0, 123.0, 162.0, 179.0, 209.0, 225.0
