11.0547 	WARNING 	t of last frame was 3.86ms (=1/258)
11.1898 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.3654 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.3813 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.4178 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.4329 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.4698 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.4849 	WARNING 	Tried to set contrast while useShaders = False but stimulus was not rebuild. Contrast might remain unchanged.
11.5228 	EXP 	TextStim: autoLog = None
11.5228 	EXP 	TextStim: units = None
11.5228 	EXP 	TextStim: useShaders = None
11.5228 	EXP 	TextStim: depth = None
11.5228 	EXP 	TextStim: ori = None
11.5228 	EXP 	TextStim: pos = None
11.5228 	EXP 	TextStim: colorSpace = None
11.5228 	EXP 	TextStim: opacity = None
11.5228 	EXP 	Set instructionsText text=
11.5228 	EXP 	TextStim: contrast = None
11.5228 	EXP 	TextStim: autoLog = None
11.5228 	EXP 	TextStim: units = None
11.5228 	EXP 	TextStim: useShaders = None
11.5228 	EXP 	TextStim: depth = None
11.5228 	EXP 	TextStim: ori = None
11.5228 	EXP 	TextStim: pos = None
11.5228 	EXP 	TextStim: colorSpace = None
11.5228 	EXP 	TextStim: opacity = None
11.5228 	EXP 	Set debugText text=
11.5228 	EXP 	TextStim: contrast = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameMiddle.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameMiddle.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameLeft.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameLeft.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameRight.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameRight.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set cue.lineColor=[ 1.  1.  1.] (rgb)
11.5228 	EXP 	Set cue.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set target.lineColor=[ 1.  1.  1.] (rgb)
11.5228 	EXP 	Set target.fillColor=[ 1.  1.  1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	TextStim: autoLog = None
11.5228 	EXP 	TextStim: units = None
11.5228 	EXP 	TextStim: useShaders = None
11.5228 	EXP 	TextStim: depth = None
11.5228 	EXP 	TextStim: ori = None
11.5228 	EXP 	TextStim: pos = None
11.5228 	EXP 	TextStim: colorSpace = None
11.5228 	EXP 	TextStim: opacity = None
11.5228 	EXP 	Set blockStartText text=
11.5228 	EXP 	TextStim: contrast = None
11.5228 	EXP 	TextStim: autoLog = None
11.5228 	EXP 	TextStim: units = None
11.5228 	EXP 	TextStim: useShaders = None
11.5228 	EXP 	TextStim: depth = None
11.5228 	EXP 	TextStim: ori = None
11.5228 	EXP 	TextStim: pos = None
11.5228 	EXP 	TextStim: colorSpace = None
11.5228 	EXP 	TextStim: opacity = None
11.5228 	EXP 	Set debugText text=
11.5228 	EXP 	TextStim: contrast = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameMiddle.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameMiddle.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameLeft.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameLeft.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set frameRight.lineColor=[ 0.  0.  0.] (rgb)
11.5228 	EXP 	Set frameRight.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
11.5228 	EXP 	Rect: pos = None
11.5228 	EXP 	Rect: useShaders = None
11.5228 	EXP 	Set cue.lineColor=[ 1.  1.  1.] (rgb)
11.5228 	EXP 	Set cue.fillColor=[-1. -1. -1.] (rgb)
11.5228 	EXP 	Rect: depth = None
11.5228 	EXP 	Rect: ori = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: size = None
11.5228 	EXP 	Rect: autoLog = None
11.5228 	EXP 	Rect: units = None
11.5228 	EXP 	Rect: contrast = None
11.5228 	EXP 	Rect: opacity = None
