target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.880688667297,0.9755496978759766, 1.0030462741851807, 0.8350602984428406, 0.8243536353111267, 0.8155770301818848, 0.8421635031700134, 0.8720527291297913, 0.8724779486656189, 0.844200849533081, 0.9224050641059875,0.0651177655007,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.941277980804,0.9938657283782959, 0.9709084033966064, 0.8664060831069946, 0.8164706826210022, 1.0375587940216064, 0.8697708249092102, 1.052077293395996, 0.9650513529777527, 0.9229918122291565, 0.9176784157752991,0.0766973478801,16.0, 36.0, 65.0, 73.0, 106.0, 132.0, 148.0, 190.0, 202.0, 219.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.936659049988,0.8633875846862793, 0.8870930671691895, 0.9784428477287292, 0.8580819368362427, 0.9362449645996094, 0.9490771889686584, 0.9337226748466492, 0.9158043265342712, 0.9595410227775574, 1.085194706916809,0.0657690337764,4.0, 41.0, 69.0, 90.0, 119.0, 122.0, 156.0, 187.0, 207.0, 228.0
none,50,left,10.0,, , 'space', , 'space', 'space', , 'space', , ,0.893935441971,, , 0.993725061416626, , 0.9132286906242371, 0.8457382917404175, , 0.8230496644973755, , ,0.0700752697127,23.0, 38.0, 48.0, 72.0, 112.0, 141.0, 146.0, 182.0, 212.0, 220.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.926204967499,0.8592532277107239, 1.200278639793396, 0.9606080651283264, 0.8566536903381348, 1.0135568380355835, 0.8206254839897156, 0.9318777322769165, 0.8149810433387756, 0.8455004692077637, 0.9587147831916809,0.117553906754,11.0, 47.0, 56.0, 85.0, 102.0, 133.0, 149.0, 175.0, 208.0, 232.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.903231620789,0.9771047830581665, 0.882994532585144, 1.0255321264266968, 0.7884847521781921, 1.08359694480896, 0.9068225026130676, 0.8594055771827698, 0.8444459438323975, 0.8197988867759705, 0.8441304564476013,0.0956649434013,8.0, 26.0, 52.0, 76.0, 110.0, 143.0, 144.0, 176.0, 213.0, 226.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.925226783752,0.8650037050247192, 0.9782967567443848, 0.9514755606651306, 0.8765004873275757, 0.864891529083252, 1.0008505582809448, 1.0054360628128052, 0.8230281472206116, 0.8477683663368225, 1.0390164852142334,0.0779542473157,6.0, 32.0, 58.0, 88.0, 96.0, 124.0, 165.0, 170.0, 198.0, 230.0
none,50,right,10.0,, , , 'space', 'space', , 'space', , 'space', ,1.03601157665,, , , 0.8365391492843628, 1.2989575862884521, , 1.0883513689041138, , 0.9201980233192444, ,0.186400171564,21.0, 30.0, 51.0, 95.0, 100.0, 140.0, 151.0, 180.0, 211.0, 222.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04963150024,1.0672619342803955, 1.0852736234664917, 0.8188740611076355, 1.076332926750183, 1.0159372091293335, 0.9836851954460144, 1.4069536924362183, 0.9988484978675842, 1.0215880870819092, 1.0215595960617065,0.146386058309,10.0, 42.0, 59.0, 75.0, 115.0, 125.0, 154.0, 178.0, 193.0, 221.0
right,200,left,10.0,'space', 'space', , 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.935376273261,0.8508082628250122, 1.0933398008346558, , 0.8291627764701843, 1.036649227142334, 0.8645636439323425, 0.8138468265533447, 1.1586703062057495, 0.9913932085037231, 0.7799524664878845,0.136345720394,12.0, 34.0, 61.0, 81.0, 98.0, 130.0, 166.0, 186.0, 215.0, 227.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.02740354538,1.039983868598938, 0.864118218421936, 1.0081088542938232, 1.1314364671707153, 1.0399422645568848, 1.1588563919067383, 0.8077046871185303, 0.9833212494850159, 1.418891429901123, 0.8216716647148132,0.182954692136,0.0, 39.0, 49.0, 84.0, 111.0, 123.0, 162.0, 179.0, 209.0, 225.0
none,200,left,10.0,'space', 'space', , , , , 'space', 'space', 'space', 'space',0.865937709808,1.0217320919036865, 0.8629629611968994, , , , , 0.8573822379112244, 0.7875313758850098, 0.7949958443641663, 0.8710215091705322,0.081149246601,15.0, 33.0, 67.0, 80.0, 103.0, 137.0, 145.0, 172.0, 196.0, 238.0
left,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.09405260086,1.0921906232833862, 1.1264724731445312, 1.4357103109359741, 1.0449707508087158, 1.121173620223999, 0.8830322623252869, 1.1305266618728638, 0.9792560935020447, 1.1098374128341675, 1.0173557996749878,0.143797242183,13.0, 29.0, 63.0, 74.0, 97.0, 136.0, 147.0, 169.0, 214.0, 234.0
