target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.942404460907,0.9285985827445984, 1.0178806781768799, 1.0953738689422607, 0.9050889015197754, 0.9041035175323486, 0.8954557180404663, 0.930008053779602, 0.872212827205658, 0.9089446663856506, 0.9663773775100708,0.0675979076464,13.0, 37.0, 50.0, 77.0, 97.0, 137.0, 160.0, 172.0, 204.0, 216.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.975969409943,0.9484696984291077, 1.0121092796325684, 1.0427145957946777, 0.9829485416412354, 1.0082374811172485, 0.9689666032791138, 0.893186092376709, 0.9706180691719055, 0.9271001219749451, 1.005344033241272,0.044458483083,14.0, 39.0, 51.0, 82.0, 116.0, 140.0, 146.0, 182.0, 192.0, 222.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.871085262299,0.8053639531135559, 0.8835940957069397, 0.8878398537635803, 0.9395756721496582, 0.8442654609680176, 0.8935201168060303, 0.8619624376296997, 0.8676661252975464, 0.8812103271484375, 0.845854640007019,0.0357523209477,4.0, 35.0, 63.0, 90.0, 105.0, 136.0, 145.0, 180.0, 206.0, 218.0
none,50,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,10.0, 29.0, 54.0, 78.0, 101.0, 124.0, 158.0, 179.0, 211.0, 228.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.95215845108,0.8939059972763062, 0.917264461517334, 0.9907589554786682, 0.9515964388847351, 0.9666562080383301, 0.931308925151825, 0.9753339290618896, 0.9717332720756531, 0.9988763928413391, 0.9241498112678528,0.0343729023615,1.0, 43.0, 60.0, 81.0, 115.0, 135.0, 148.0, 181.0, 196.0, 217.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.931359863281,0.9075676798820496, 0.9580511450767517, 0.9340298771858215, 1.0416558980941772, 0.9014776349067688, 0.925087034702301, 0.9345859885215759, 0.8594507575035095, 0.9807774424552917, 0.8709151148796082,0.0533959266591,9.0, 31.0, 62.0, 76.0, 104.0, 131.0, 154.0, 174.0, 199.0, 235.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.865020275116,0.8597490191459656, 0.8575710654258728, 0.9209076166152954, 0.8760451674461365, 0.8564480543136597, 0.8231653571128845, 0.8292891979217529, 0.8988491296768188, 0.8582525849342346, 0.8699256181716919,0.0291442818578,22.0, 38.0, 71.0, 85.0, 111.0, 122.0, 152.0, 183.0, 198.0, 225.0
none,50,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,18.0, 32.0, 67.0, 73.0, 100.0, 133.0, 155.0, 178.0, 207.0, 237.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04000768661,0.9606091976165771, 1.035508394241333, 1.0714508295059204, 1.0847904682159424, 1.0688308477401733, 1.0365999937057495, 1.0573066473007202, 1.0221823453903198, 1.0447520017623901, 1.0180463790893555,0.035406722248,6.0, 27.0, 56.0, 93.0, 117.0, 127.0, 150.0, 177.0, 195.0, 239.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.07427196503,1.1078368425369263, 1.0994963645935059, 1.0854535102844238, 1.0832552909851074, 1.0747076272964478, 1.0735654830932617, 1.0007461309432983, 1.0712674856185913, 1.0935640335083008, 1.0528268814086914,0.0302148566209,21.0, 44.0, 52.0, 74.0, 109.0, 138.0, 144.0, 185.0, 193.0, 232.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.00674238205,0.9952681660652161, 1.0486631393432617, 0.9989826083183289, 1.0082981586456299, 0.9942271113395691, 1.0099784135818481, 1.0169826745986938, 1.0126852989196777, 0.9845513105392456, 0.997786819934845,0.0177375106443,3.0, 47.0, 48.0, 87.0, 110.0, 121.0, 149.0, 187.0, 200.0, 221.0
none,200,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,20.0, 46.0, 58.0, 80.0, 99.0, 143.0, 161.0, 168.0, 197.0, 234.0
