target_side,target_time,cue_side,n,trialKey.keys_raw,,,,,,,,,,trialKey.rt_mean,trialKey.rt_raw,,,,,,,,,,trialKey.rt_std,order,,,,,,,,,
left,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.938190460205,0.9158974885940552, 0.8762619495391846, 1.0691074132919312, 0.9648380875587463, 0.9140076041221619, 0.8766161799430847, 0.8922253847122192, 0.9373897910118103, 0.9796229004859924, 0.9559377431869507,0.0584072927152,2.0, 35.0, 71.0, 83.0, 116.0, 135.0, 163.0, 173.0, 200.0, 235.0
right,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.976682662964,0.984534502029419, 0.9246419668197632, 1.0143318176269531, 0.9550759792327881, 0.9702150821685791, 0.9455826282501221, 0.9385359287261963, 1.01373291015625, 0.9894727468490601, 1.0307027101516724,0.0358591081179,16.0, 36.0, 65.0, 73.0, 106.0, 132.0, 148.0, 190.0, 202.0, 219.0
central,50,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.93243598938,0.9211686849594116, 0.9495342969894409, 1.0056544542312622, 0.962442934513092, 0.9877572655677795, 0.9362409114837646, 0.9117957949638367, 0.8541278839111328, 0.9217937588691711, 0.8738439083099365,0.046975231886,4.0, 41.0, 69.0, 90.0, 119.0, 122.0, 156.0, 187.0, 207.0, 228.0
none,50,left,10.0,, , , , , , , , , ,,, , , , , , , , , ,,23.0, 38.0, 48.0, 72.0, 112.0, 141.0, 146.0, 182.0, 212.0, 220.0
left,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.936613750458,0.9644113183021545, 0.9593093991279602, 0.9452831149101257, 0.9593172669410706, 1.0016891956329346, 0.8922219276428223, 0.8628682494163513, 0.9414750337600708, 0.8976534605026245, 0.9419088363647461,0.0409495969486,11.0, 47.0, 56.0, 85.0, 102.0, 133.0, 149.0, 175.0, 208.0, 232.0
right,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.963634872437,1.0147684812545776, 0.902603030204773, 1.0608341693878174, 1.0490080118179321, 0.9806921482086182, 0.9351173043251038, 0.9075540900230408, 0.9170759916305542, 0.9152438640594482, 0.9534512162208557,0.0595708638738,8.0, 26.0, 52.0, 76.0, 110.0, 143.0, 144.0, 176.0, 213.0, 226.0
central,50,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.895076274872,0.900059163570404, 1.0016707181930542, 0.9023516774177551, 0.8952073454856873, 0.8568038940429688, 0.8601019978523254, 0.9027334451675415, 0.901232898235321, 0.8773150444030762, 0.8532863855361938,0.0425395512728,6.0, 32.0, 58.0, 88.0, 96.0, 124.0, 165.0, 170.0, 198.0, 230.0
none,50,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,21.0, 30.0, 51.0, 95.0, 100.0, 140.0, 151.0, 180.0, 211.0, 222.0
left,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.02597293854,1.0069807767868042, 1.0332008600234985, 1.0084421634674072, 1.0684905052185059, 1.040567398071289, 1.0065360069274902, 1.0201023817062378, 0.9771486520767212, 1.0422468185424805, 1.056013584136963,0.0272933917762,10.0, 42.0, 59.0, 75.0, 115.0, 125.0, 154.0, 178.0, 193.0, 221.0
right,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.06019210815,1.0153281688690186, 1.0877630710601807, 1.0485844612121582, 1.0141764879226685, 1.0304793119430542, 1.0619003772735596, 1.0482170581817627, 1.0711638927459717, 1.1350898742675781, 1.0892183780670166,0.0374564277994,12.0, 34.0, 61.0, 81.0, 98.0, 130.0, 166.0, 186.0, 215.0, 227.0
central,200,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.997222042084,0.9666907787322998, 0.9809663891792297, 1.0503686666488647, 1.0081290006637573, 0.9866756796836853, 1.0114508867263794, 0.9893840551376343, 0.9448879957199097, 1.0322461128234863, 1.001420497894287,0.0307285870008,0.0, 39.0, 49.0, 84.0, 111.0, 123.0, 162.0, 179.0, 209.0, 225.0
none,200,left,10.0,, , , , , , 'space', , , ,0.850657880306,, , , , , , 0.8506578803062439, , , ,0.0,15.0, 33.0, 67.0, 80.0, 103.0, 137.0, 145.0, 172.0, 196.0, 238.0
left,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.04794549942,1.0043747425079346, 1.0268089771270752, 1.0718432664871216, 1.0642991065979004, 1.0042177438735962, 1.0019294023513794, 1.07261061668396, 1.0579441785812378, 1.0841424465179443, 1.0912845134735107,0.0351348761182,13.0, 29.0, 63.0, 74.0, 97.0, 136.0, 147.0, 169.0, 214.0, 234.0
right,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.05731182098,1.0126934051513672, 1.0167016983032227, 1.0600838661193848, 1.1604267358779907, 1.0741047859191895, 1.0705093145370483, 1.0667310953140259, 0.9883633852005005, 1.1121584177017212, 1.0113457441329956,0.0523876272811,14.0, 27.0, 55.0, 94.0, 99.0, 129.0, 161.0, 171.0, 210.0, 233.0
central,200,right,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',0.9930519104,0.9702266454696655, 0.9967026114463806, 1.066968321800232, 0.9929131269454956, 0.9078217148780823, 1.0501060485839844, 0.9970887303352356, 0.9705877304077148, 0.9836886525154114, 0.9944155812263489,0.0436244094252,22.0, 43.0, 62.0, 79.0, 107.0, 127.0, 158.0, 185.0, 197.0, 236.0
none,200,right,10.0,, , , , , , , , , ,,, , , , , , , , , ,,19.0, 28.0, 50.0, 91.0, 109.0, 121.0, 152.0, 181.0, 195.0, 217.0
left,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.1761756897,1.1949437856674194, 1.1137503385543823, 1.1655666828155518, 1.202301263809204, 1.1561535596847534, 1.1651629209518433, 1.1977413892745972, 1.1928836107254028, 1.1794661283493042, 1.1937870979309082,0.0271449852477,7.0, 31.0, 64.0, 87.0, 108.0, 131.0, 167.0, 183.0, 205.0, 229.0
right,350,left,10.0,'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space',1.20401191711,1.2143596410751343, 1.1566555500030518, 1.2008382081985474, 1.2296628952026367, 1.265659213066101, 1.1923452615737915, 1.17913818359375, 1.2561684846878052, 1.1775439977645874, 1.1677478551864624,0.0369818109263,9.0, 37.0, 70.0, 77.0, 114.0, 128.0, 160.0, 189.0, 192.0, 231.0
